k,n,metric,value,seqMode
5,144,"strongMemoTree",959,"unary-cover-no-reassoc"
5,144,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,144,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,144,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,144,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,144,"strongMemoStates",32768,"unary-cover-no-reassoc"
5,144,"strongMemoSplitProbes",529537,"unary-cover-no-reassoc"
5,144,"strongMemoSpanBound",967150,"unary-cover-no-reassoc"
5,144,"strongMemoSplitBound",140236750,"unary-cover-no-reassoc"
5,148,"strongMemoTree",947,"unary-cover-no-reassoc"
5,148,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,148,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,148,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,148,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,148,"strongMemoStates",34566,"unary-cover-no-reassoc"
5,148,"strongMemoSplitProbes",573945,"unary-cover-no-reassoc"
5,148,"strongMemoSpanBound",1021246,"unary-cover-no-reassoc"
5,148,"strongMemoSplitBound",152165654,"unary-cover-no-reassoc"
5,152,"strongMemoTree",901,"unary-cover-no-reassoc"
5,152,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,152,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,152,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,152,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,152,"strongMemoStates",36412,"unary-cover-no-reassoc"
5,152,"strongMemoSplitProbes",620769,"unary-cover-no-reassoc"
5,152,"strongMemoSpanBound",1076814,"unary-cover-no-reassoc"
5,152,"strongMemoSplitBound",164752542,"unary-cover-no-reassoc"
5,156,"strongMemoTree",947,"unary-cover-no-reassoc"
5,156,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,156,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,156,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,156,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,156,"strongMemoStates",38306,"unary-cover-no-reassoc"
5,156,"strongMemoSplitProbes",670073,"unary-cover-no-reassoc"
5,156,"strongMemoSpanBound",1133854,"unary-cover-no-reassoc"
5,156,"strongMemoSplitBound",178015078,"unary-cover-no-reassoc"
5,160,"strongMemoTree",957,"unary-cover-no-reassoc"
5,160,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,160,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,160,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,160,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,160,"strongMemoStates",40248,"unary-cover-no-reassoc"
5,160,"strongMemoSplitProbes",721921,"unary-cover-no-reassoc"
5,160,"strongMemoSpanBound",1192366,"unary-cover-no-reassoc"
5,160,"strongMemoSplitBound",191970926,"unary-cover-no-reassoc"
5,164,"strongMemoTree",959,"unary-cover-no-reassoc"
5,164,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,164,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,164,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,164,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,164,"strongMemoStates",42238,"unary-cover-no-reassoc"
5,164,"strongMemoSplitProbes",776377,"unary-cover-no-reassoc"
5,164,"strongMemoSpanBound",1252350,"unary-cover-no-reassoc"
5,164,"strongMemoSplitBound",206637750,"unary-cover-no-reassoc"
5,168,"strongMemoTree",903,"unary-cover-no-reassoc"
5,168,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,168,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,168,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,168,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,168,"strongMemoStates",44276,"unary-cover-no-reassoc"
5,168,"strongMemoSplitProbes",833505,"unary-cover-no-reassoc"
5,168,"strongMemoSpanBound",1313806,"unary-cover-no-reassoc"
5,168,"strongMemoSplitBound",222033214,"unary-cover-no-reassoc"
5,172,"strongMemoTree",947,"unary-cover-no-reassoc"
5,172,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,172,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,172,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,172,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,172,"strongMemoStates",46362,"unary-cover-no-reassoc"
5,172,"strongMemoSplitProbes",893369,"unary-cover-no-reassoc"
5,172,"strongMemoSpanBound",1376734,"unary-cover-no-reassoc"
5,172,"strongMemoSplitBound",238174982,"unary-cover-no-reassoc"
5,176,"strongMemoTree",947,"unary-cover-no-reassoc"
5,176,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,176,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,176,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,176,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,176,"strongMemoStates",48496,"unary-cover-no-reassoc"
5,176,"strongMemoSplitProbes",956033,"unary-cover-no-reassoc"
5,176,"strongMemoSpanBound",1441134,"unary-cover-no-reassoc"
5,176,"strongMemoSplitBound",255080718,"unary-cover-no-reassoc"
5,180,"strongMemoTree",957,"unary-cover-no-reassoc"
5,180,"strongMemoActiveRows",85,"unary-cover-no-reassoc"
5,180,"strongMemoActiveKeys",2,"unary-cover-no-reassoc"
5,180,"strongMemoActiveMaxBucket",84,"unary-cover-no-reassoc"
5,180,"strongMemoActivePairBudget",7057,"unary-cover-no-reassoc"
5,180,"strongMemoStates",50678,"unary-cover-no-reassoc"
